
 Episode : 52 | Reward -> 1895.5524744453833 | Max reward : 2270.3314412657937 | Time : 3.4816598892211914'
 Episode : 54 | Reward -> 1442.6980538601729 | Max reward : 2242.6389887634036 | Time : 3.5477261543273926'
 Episode : 56 | Reward -> 2070.1738438516904 | Max reward : 2240.397079855354 | Time : 3.498828411102295'
 Episode : 58 | Reward -> 1255.2569851125845 | Max reward : 2222.6848495823137 | Time : 3.6340301036834717'
 Episode : 60 | Reward -> 1563.2555962045244 | Max reward : 1980.7790715626836 | Time : 3.644408702850342'
 Episode : 62 | Reward -> 1946.5708636878267 | Max reward : 2161.9466306242016 | Time : 3.4829518795013428'
 Episode : 64 | Reward -> 1945.5779133001188 | Max reward : 2073.8910363698137 | Time : 3.499752998352051'
 Episode : 66 | Reward -> 1778.248806031367 | Max reward : 1902.2230983323875 | Time : 4.649301052093506'
 Episode : 68 | Reward -> 2134.5270794814596 | Max reward : 2300.358810351163 | Time : 3.570671558380127'
 Episode : 70 | Reward -> 1963.2303061585108 | Max reward : 2029.062700706771 | Time : 4.406537771224976'
 Episode : 72 | Reward -> 1303.158245303743 | Max reward : 2245.607879239729 | Time : 3.537385940551758'
 Episode : 74 | Reward -> 1052.913168020892 | Max reward : 1740.7197898831037 | Time : 4.419571876525879'
 Episode : 76 | Reward -> 1856.481654282849 | Max reward : 2101.159181730673 | Time : 3.6915900707244873'
 Episode : 78 | Reward -> 2173.5621099015743 | Max reward : 2371.6774546478596 | Time : 4.20879602432251'
 Episode : 80 | Reward -> 1839.6727029498682 | Max reward : 1886.4849924314533 | Time : 3.4993317127227783'
 Episode : 82 | Reward -> 1859.936925364976 | Max reward : 2095.372168967104 | Time : 3.5372068881988525'
 Episode : 84 | Reward -> 2090.3248977494595 | Max reward : 2207.442784697357 | Time : 3.6435885429382324'
 Episode : 86 | Reward -> 1984.790881272796 | Max reward : 2074.6683980731277 | Time : 3.6546883583068848'
 Episode : 88 | Reward -> 1900.136193161483 | Max reward : 1932.3150456231265 | Time : 4.37915563583374'
 Episode : 90 | Reward -> 1208.9850436874394 | Max reward : 2073.3937283877235 | Time : 4.392259836196899'
 Episode : 92 | Reward -> 1872.5018666856708 | Max reward : 2334.433437873735 | Time : 4.425623655319214'
 Episode : 94 | Reward -> 2152.0619328386542 | Max reward : 2206.246725266554 | Time : 4.361403703689575'
 
 
 Episode : 4 | Reward -> 785.6478144071591 | Max reward : 1399.5391036829342 | Time : 4.415719270706177'
 Episode : 8 | Reward -> 835.2331365113433 | Max reward : 1093.9251498407812 | Time : 4.4089624881744385'
 Episode : 12 | Reward -> 439.64891493574305 | Max reward : 747.6403571098108 | Time : 2.5125887393951416'
 Episode : 16 | Reward -> 1207.2893437445239 | Max reward : 2376.074719611234 | Time : 2.6595077514648438'
 Episode : 20 | Reward -> 963.8312155522552 | Max reward : 1420.045711833854 | Time : 4.5294108390808105'
 Episode : 24 | Reward -> 1097.994571703924 | Max reward : 1323.7055795086114 | Time : 4.477659702301025'
 Episode : 28 | Reward -> 1219.3418211770058 | Max reward : 1885.1885775602825 | Time : 3.4838976860046387'
 Episode : 32 | Reward -> 1244.3421653472326 | Max reward : 1969.192766753904 | Time : 4.55649209022522'
 Episode : 36 | Reward -> 1580.1845937732892 | Max reward : 1848.0316547056887 | Time : 3.440091133117676'
 Episode : 40 | Reward -> 547.3833868299881 | Max reward : 1381.821577932341 | Time : 4.4072511196136475'
 Episode : 44 | Reward -> 883.3713917616584 | Max reward : 1585.3592204054305 | Time : 4.437683582305908'
 Episode : 48 | Reward -> 837.4470901626753 | Max reward : 1093.0102173306354 | Time : 4.575011968612671'
 Episode : 52 | Reward -> 962.8861123040587 | Max reward : 1782.435687176991 | Time : 3.49306058883667'
 Episode : 56 | Reward -> 1502.8408579537054 | Max reward : 2092.601431025654 | Time : 3.4789109230041504'
 Episode : 60 | Reward -> 1393.3075809615802 | Max reward : 1792.5489540514768 | Time : 4.378350734710693'
 Episode : 64 | Reward -> 1123.2269674664267 | Max reward : 1206.7344381432936 | Time : 3.3347790241241455'
 Episode : 68 | Reward -> 2321.159460184508 | Max reward : 2460.894119753628 | Time : 3.5084927082061768'
 Episode : 72 | Reward -> 1647.0511200069348 | Max reward : 2029.710429918586 | Time : 4.5049896240234375'
 Episode : 76 | Reward -> 1794.4938920194024 | Max reward : 2279.9761522462622 | Time : 3.5122885704040527'
 Episode : 80 | Reward -> 1149.1290257041344 | Max reward : 1681.1604580535952 | Time : 3.478520154953003'
 Episode : 84 | Reward -> 1255.9684506626004 | Max reward : 1922.8449745967696 | Time : 3.46417498588562'
 Episode : 88 | Reward -> 954.6795840810476 | Max reward : 1689.2065641700046 | Time : 3.58036732673645'
 Episode : 92 | Reward -> 714.8922999527434 | Max reward : 1281.1449289378197 | Time : 4.435906648635864'
 Episode : 96 | Reward -> 1214.4852685256838 | Max reward : 1433.9749786116718 | Time : 3.4868435859680176'
 Episode : 100 | Reward -> 1826.669018848381 | Max reward : 2370.23097916205 | Time : 4.486148357391357'
 Episode : 96 | Reward -> 1887.0284599911556 | Max reward : 1921.2681023005603 | Time : 4.401830196380615'
 Episode : 98 | Reward -> 2007.8357694130414 | Max reward : 2210.3370596486893 | Time : 3.50018048286438'
 Episode : 100 | Reward -> 1982.4624224593622 | Max reward : 2258.6538262296176 | Time : 3.5305919647216797'
