
 Episode : 12 | Reward -> 1919.9739533321494 | Max reward : 2793.461963185251 | Time : 3.5956408977508545'
 Episode : 14 | Reward -> 1535.1664704160023 | Max reward : 2714.0478793724874 | Time : 3.65602970123291'
 Episode : 16 | Reward -> 829.3859745568093 | Max reward : 1115.7368000839592 | Time : 3.2772016525268555'


 Episode : 2 | Reward -> 649.9478265130518 | Max reward : 709.0543354641813 | Time : 2.4903438091278076'
 Episode : 4 | Reward -> 1737.8527882060446 | Max reward : 2751.3276978467184 | Time : 4.53859281539917'
 Episode : 6 | Reward -> 1648.0955375275946 | Max reward : 2672.887542915367 | Time : 3.6986494064331055'
 Episode : 8 | Reward -> 1594.03674615167 | Max reward : 2418.285124914797 | Time : 4.5539069175720215'
 Episode : 10 | Reward -> 543.196167984926 | Max reward : 754.1000978100111 | Time : 2.494670867919922'
 Episode : 12 | Reward -> 1735.570009847401 | Max reward : 2521.858247791236 | Time : 4.446807384490967'
 Episode : 14 | Reward -> 624.8489126598295 | Max reward : 724.6378245746421 | Time : 3.191744804382324'
 Episode : 16 | Reward -> 1306.4237164537321 | Max reward : 1846.676790021473 | Time : 4.430290222167969'
 Episode : 18 | Reward -> 2059.037730161344 | Max reward : 2544.164960464236 | Time : 3.868610382080078'
 Episode : 20 | Reward -> 559.2204359633354 | Max reward : 786.5598576620164 | Time : 4.421760559082031'
 Episode : 22 | Reward -> 1257.1878829465306 | Max reward : 2088.0901514127468 | Time : 3.2213268280029297'
 Episode : 24 | Reward -> 2449.707638128526 | Max reward : 2580.0746885523695 | Time : 3.6615707874298096'
 Episode : 26 | Reward -> 1585.3935889148297 | Max reward : 2363.305767538489 | Time : 4.292654752731323'
 Episode : 28 | Reward -> 2468.630048241693 | Max reward : 2542.680022434928 | Time : 3.6638290882110596'
 Episode : 30 | Reward -> 2379.7822579479816 | Max reward : 2578.376711322819 | Time : 3.7630529403686523'
 Episode : 32 | Reward -> 1884.724843345104 | Max reward : 2954.4666165817307 | Time : 3.8074066638946533'
 Episode : 34 | Reward -> 2286.897153564102 | Max reward : 2297.1953294722266 | Time : 3.7513346672058105'
 Episode : 36 | Reward -> 1696.6056913715333 | Max reward : 2585.3195653382827 | Time : 3.795694589614868'
 Episode : 38 | Reward -> 326.2374485761728 | Max reward : 336.88755632700514 | Time : 4.421845197677612'
 Episode : 40 | Reward -> 1553.7231605986988 | Max reward : 2206.453640341984 | Time : 4.458796739578247'
 Episode : 42 | Reward -> 1704.1393030826357 | Max reward : 2505.3907201799093 | Time : 4.455522537231445'
 Episode : 44 | Reward -> 2419.7256202401927 | Max reward : 2490.5233939936884 | Time : 3.7191545963287354'
 Episode : 46 | Reward -> 2227.135884314148 | Max reward : 2232.543376427633 | Time : 3.7232706546783447'
 Episode : 48 | Reward -> 2444.732866536767 | Max reward : 2595.3806619563456 | Time : 4.005975723266602'
 Episode : 50 | Reward -> 1640.3500996430741 | Max reward : 2473.099296411799 | Time : 4.395453691482544'
 Episode : 52 | Reward -> 2281.1953939793048 | Max reward : 2288.726539099073 | Time : 3.852051019668579'
 Episode : 54 | Reward -> 1576.2333324668016 | Max reward : 2274.9772881737804 | Time : 4.018396854400635'
 Episode : 56 | Reward -> 1612.5826689885685 | Max reward : 2323.8842842586337 | Time : 4.450605630874634'
 Episode : 58 | Reward -> 839.7048994330767 | Max reward : 851.2091420993532 | Time : 4.4926042556762695'
 Episode : 60 | Reward -> 2363.151051669297 | Max reward : 2504.1898344750152 | Time : 3.813312530517578'
 Episode : 62 | Reward -> 1910.9857029689347 | Max reward : 2954.89649485909 | Time : 4.261612892150879'
